Grade,Cu Rec.,Si. Rej,SE
1.975008415,96.12169921,67.8491692,63.9708684
6.89,91.70174795,92.53234544,84.23409339
2.61608978,96.87808259,75.23128851,72.10937111
8.7,92.11828377,94.26510705,86.38339082
2.950169976,96.97206495,77.03223217,74.00429712
9.55,92.33171493,94.65308767,86.9848026
